id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MjA1Mzg=,20538,mike-hansen-20538,Mike Hansen,Mighty Mouse,1989-10-05,165.1,,,,,United States
RmlnaHRlck5vZGU6MjA1NDI=,20542,stephon-reese-20542,Stephon Reese,Slugga,1991-01-17,172.7,,,,,United States
RmlnaHRlck5vZGU6MjA1NTk=,20559,murat-kilimetov-20559,Murat Kilimetov,SamBeast,1991-08-10,188.0,,,,,Russia
RmlnaHRlck5vZGU6MjA1ODM=,20583,karl-roberson-20583,Karl Roberson,Baby K,1990-10-04,183.0,75.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MjA2Mg==,2062,ronnie-rogers-2062,Ronnie Rogers,Bam Bam,1984-12-31,173.0,65.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MjA2NTc=,20657,jeremiah-scott-20657,Jeremiah Scott,The Prophet,1993-10-20,175.0,,,,,United States
RmlnaHRlck5vZGU6MjA2NTg=,20658,kenny-hill-20658,Kenny Hill,The Suntan Superman,1985-04-28,165.1,,,,,United States
RmlnaHRlck5vZGU6MjA2NTk=,20659,brandon-bushaw-20659,Brandon Bushaw,,1981-05-17,177.8,,,,,United States
RmlnaHRlck5vZGU6MjA2NjQ=,20664,reginald-barnett-jr-20664,Reginald Barnett Jr.,,1986-07-04,165.1,,,,,United States
RmlnaHRlck5vZGU6MjA2NzI=,20672,james-brown-20672,James Brown,The Pound,1993-09-09,188.0,,,,,United States
RmlnaHRlck5vZGU6MjA3NTc=,20757,ernesto-papa-20757,Ernesto Papa,,1982-06-11,184.0,,,,,Italy
RmlnaHRlck5vZGU6MjA4Mg==,2082,sabah-homasi-2082,Sabah Homasi,The Punisher,1988-10-19,183.0,72.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MjA4NTk=,20859,jayme-hinshaw-20859,Jayme Hinshaw,ATOMBOMB,1989-10-16,157.5,61.0,,,,United States
RmlnaHRlck5vZGU6MjA5,209,houston-alexander-209,Houston Alexander,The Assassin,1972-03-22,183.0,72.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MjA5MDc=,20907,randy-hedderick-20907,Randy Hedderick,,1984-06-25,175.0,,,,,United States
RmlnaHRlck5vZGU6MjA5MTU=,20915,corey-roberts-20915,Corey Roberts,Pitbull,1988-01-05,167.6,,,,,United States
RmlnaHRlck5vZGU6MjA5Ng==,2096,scott-oshaughnessy-2096,Scott O'Shaughnessy,The Irish Spartan,1985-07-25,177.8,,,,,United States
RmlnaHRlck5vZGU6MjA=,20,ben-rothwell-20,Ben Rothwell,Big Ben,1981-10-17,196.0,80.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MjAwMw==,2003,parker-porter-2003,Parker Porter,,1985-04-22,182.9,74.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MjAyOTk=,20299,tom-angeloff-20299,Tom Angeloff,The Spider Monkey,,188.0,,,,,United States
RmlnaHRlck5vZGU6MjAzNTA=,20350,sheena-brandenburg-20350,Sheena Brandenburg,Star,1983-06-28,165.1,,,,,United States
RmlnaHRlck5vZGU6MjAzNzY=,20376,billy-martin-20376,Billy Martin,The Kid,1990-04-22,180.3,,,,,United States
